[Mon Mar 28 11:14:22.424510 2016] [:error] [pid 28853] [client 127.0.0.1:41398] PHP  35. call_user_func:{/home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:14:22.424517 2016] [:error] [pid 28853] [client 127.0.0.1:41398] PHP  36. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:14:22.424524 2016] [:error] [pid 28853] [client 127.0.0.1:41398] PHP  37. call_user_func_array:{/home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:14:22.424532 2016] [:error] [pid 28853] [client 127.0.0.1:41398] PHP  38. Illuminate\\View\\Middleware\\ShareErrorsFromSession->handle() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:14:22.424539 2016] [:error] [pid 28853] [client 127.0.0.1:41398] PHP  39. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:14:22.424546 2016] [:error] [pid 28853] [client 127.0.0.1:41398] PHP  40. call_user_func:{/home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:14:22.424553 2016] [:error] [pid 28853] [client 127.0.0.1:41398] PHP  41. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:14:22.424560 2016] [:error] [pid 28853] [client 127.0.0.1:41398] PHP  42. call_user_func_array:{/home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:14:22.424567 2016] [:error] [pid 28853] [client 127.0.0.1:41398] PHP  43. Illuminate\\Foundation\\Http\\Middleware\\VerifyCsrfToken->handle() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:14:22.424574 2016] [:error] [pid 28853] [client 127.0.0.1:41398] PHP  44. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:64, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:14:22.424585 2016] [:error] [pid 28853] [client 127.0.0.1:41398] PHP  45. call_user_func:{/home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52}() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:14:22.424593 2016] [:error] [pid 28853] [client 127.0.0.1:41398] PHP  46. Illuminate\\Routing\\Router->Illuminate\\Routing\\{closure}() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:14:22.424600 2016] [:error] [pid 28853] [client 127.0.0.1:41398] PHP  47. Illuminate\\Routing\\Route->run() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/Router.php:724, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:14:22.424608 2016] [:error] [pid 28853] [client 127.0.0.1:41398] PHP  48. Illuminate\\Routing\\Route->runController() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/Route.php:140, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:14:22.424615 2016] [:error] [pid 28853] [client 127.0.0.1:41398] PHP  49. Illuminate\\Routing\\ControllerDispatcher->dispatch() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/Route.php:174, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:14:22.424622 2016] [:error] [pid 28853] [client 127.0.0.1:41398] PHP  50. Illuminate\\Routing\\ControllerDispatcher->callWithinStack() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:54, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:14:22.424629 2016] [:error] [pid 28853] [client 127.0.0.1:41398] PHP  51. Illuminate\\Pipeline\\Pipeline->then() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:96, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:14:22.424636 2016] [:error] [pid 28853] [client 127.0.0.1:41398] PHP  52. call_user_func:{/home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103}() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:14:22.424643 2016] [:error] [pid 28853] [client 127.0.0.1:41398] PHP  53. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:14:22.424650 2016] [:error] [pid 28853] [client 127.0.0.1:41398] PHP  54. call_user_func:{/home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:14:22.424657 2016] [:error] [pid 28853] [client 127.0.0.1:41398] PHP  55. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:14:22.424664 2016] [:error] [pid 28853] [client 127.0.0.1:41398] PHP  56. call_user_func_array:{/home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124}() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:14:22.424671 2016] [:error] [pid 28853] [client 127.0.0.1:41398] PHP  57. App\\Http\\Middleware\\Authenticate->handle() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:124, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:14:22.424682 2016] [:error] [pid 28853] [client 127.0.0.1:41398] PHP  58. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/dev43/www/laravel-5-2.loc/app/Http/Middleware/Authenticate.php:28, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:14:22.424689 2016] [:error] [pid 28853] [client 127.0.0.1:41398] PHP  59. call_user_func:{/home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52}() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52, referer: http://laravel-5-2.loc/login
[Mon Mar 28 11:14:22.424696 2016] [:error] [pid 28853] [client 127.0.0.1:41398] PHP  60. Illuminate\\Routing\\ControllerDispatcher->Illuminate\\Routing\\{closure}() /home/dev43/www/laravel-5-2.loc/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52, referer: http://laravel-5-2.loc/login
